id,category,claim,reasoning,crux,transferable_move
T9,Sentience and uncertainty,"Insect and small-animal suffering is plausibly paramount or negligible, rarely moderate; scale plus uncertainty makes concern defensible, with precaution and tractability governing.","The numbers force a bimodal view. If tiny animals can suffer even a little, their astronomical populations make their suffering plausibly paramount. If they cannot, it is negligible. A comfortable middle is the least likely place to land. Precaution, sheer scale, and correcting for our bias against the small all make radical concern defensible, and cruel insect farming at scale is a serious candidate wrong rather than a curiosity. The honest brake is tractability. A vast problem with no robust intervention can be the wrong thing to push on, and acting on an uncalibratable probability can backfire. So take the concern seriously enough to fund research and avoid gratuitous mass harm, while resisting confident large-scale interventions until the sign and the levers are clearer.","Whether small animals can suffer at all, and whether any intervention is robustly net-positive.",Treat a bimodal stakes profile with precaution on harm and restraint on intervention.
T10,Diet and cluelessness,"Act on the parts you understand; target robustly net-negative lives, not the muddy aggregate.","It seems obvious that less demand means fewer factory-farmed animals and less suffering, and for a specific factory-farmed chicken whose life is strongly net-negative, fewer is indeed better. Zoom out and second-order effects pull in different directions. Freed farmland can raise wild-animal populations whose lives may themselves be net-negative, emissions shift in complex ways, and changing values can help or hurt. Summed across all animals the sign becomes genuinely unclear. The move is not paralysis. Carve out the tractable sub-case you understand well, act there with confidence, and hold the clueless aggregate at arm's length rather than letting it freeze the clear wins or letting a clean intuition pretend the aggregate is settled.",Whether you can isolate a well-understood sub-case from a clueless aggregate.,Carve a tractable sub-case out of a clueless aggregate and act only there.
T11,Diet and cluelessness,"The meat-eater problem cuts both ways: lifting people from poverty raises near-term farmed-animal harm, but the same development tends to raise animal concern over the long run.","The near-term effect is real and fairly certain. As incomes rise people eat more meat, and aid that gives people livestock can entrench animal farming as an institution, not just raise individual demand, because where banking is scarce an animal is savings and a business. Weight animals equally and the extra painful deaths, plus the spread of ownership norms, can outweigh the income gains, which is why the same dynamic can even make top human health charities look net-negative on some estimates. But the long-run effect points the other way and is usually left out. As societies grow richer and more secure, concern for animals tends to rise. Wealthy societies have expanded welfare law, and some have begun to cut per-capita meat consumption as values shift and alternatives arrive. So empowering poorer countries plausibly raises harm now while moving them along the very development curve that later produces welfare concern and, potentially, falling demand for factory farming. The question is which effect dominates and on what timescale. The near-term consumption spike is concentrated and likely, while the long-run values dividend is slower, less certain, and leans on alternative-protein progress. This sharpens the problem into a real tradeoff rather than resolving it, and it points toward capturing the upside, by steering the transition and funding alternatives, rather than opposing development.","Whether the long-run values-and-alternatives dividend outweighs the near-term consumption spike, and whether you can capture the upside without eating the full downside.","Trace both the near-term institutional flow-through and the long-run development-to-values flow-through, then ask which dominates and over what horizon."
T12,Diet and cluelessness,"Diet is one lever among many; weigh consistency against leverage and hedge across moral views, but distrust the finite-willpower excuse.","Consistency seems to demand you stop paying for suffering you accept is real. The honest counter is that willpower and attention are finite, so effort spent forcing a diet change is effort not spent on higher-impact work, and a movement that reads as uniformly strict can repel newcomers and shrink its reach. So a caring person might do more good working elsewhere while still eating some meat. Two things weaken that counter. The finite-willpower premise is shaky, since ego depletion largely failed to replicate, and diet and other work are not usually rivals for the same scarce resource. Under moral uncertainty the cleaner response is a portfolio: split effort and giving across the worldviews you find plausible so the bundle beats doing nothing whichever view is right, rather than going all-in on the theory that happens to excuse your current habits.",Whether personal diet and higher-impact work truly compete for the same scarce resource.,"Compare marginal impact across actions, then hedge across moral theories instead of picking the convenient one."
T13,Diet and cluelessness,"If farmed lives are genuinely net-positive against the wild alternative, eating them can flip from harm to good, conditional on a welfare sign we rarely know.","Farming animals causes suffering, so reducing it seems the ethical default. Flip the frame and the picture is less clear. Wild animals face predation, disease, and starvation, while well-run farmed animals may get care, feeding, and protection. If a farmed life clears the bar of being worth living and beats the wild counterfactual, it may be net-positive, and population-ethics logic would then give a reason to bring more such lives into existence rather than fewer. The load-bearing condition is the welfare sign, and for factory-farmed animals it is almost certainly negative, which collapses the argument for the vast majority of animal products. So the reversal is real in principle and rare in practice. It applies at most to genuinely high-welfare systems and should never be assumed for the default supply.","Whether the specific animals in question actually live net-positive lives, not whether some hypothetically could.",A population-ethics reversal that is valid only once the welfare sign is established as positive.
T14,Diet and cluelessness,"When health is genuinely at stake, a carefully sourced mostly-plant diet can beat both strict veganism and an all-or-nothing rule.","For someone with a real medical constraint, a rigid vegan rule can be the wrong optimization, because a diet that fails on iron, B12, or protein harms a definite person now for an uncertain marginal animal effect. A sourced mostly-plant diet, or a low-risk compromise that keeps a small amount of the most defensible animal input, can capture most of the welfare benefit while protecting health. The counter is that most invocations of health are not genuine constraints but preference dressed as necessity, and that well-planned plant-based diets meet needs for the large majority. So the compromise is legitimate exactly when the health risk is real and specific, and it should not become a general license to opt out. Pair it with the lowest-suffering sourcing available.","Whether the health constraint is a genuine, specific medical need or a preference in medical language.","Match dietary strictness to real medical risk, then minimize suffering within that constraint."
T15,Wild animals and nature,"Natural does not mean good, and the same wild-animal act is rescue or harm depending on a welfare sign we usually do not know.","Nature carries a halo, but r-strategist species produce huge numbers of offspring, most of which die young of starvation, predation, or disease, so many wild lives may be mostly net-negative. That undercuts the assumption that leaving nature alone is automatically kind. The catch is that the sign of wild welfare is genuinely unknown, so the same intervention, say boosting or suppressing a population, can be a rescue or a harm depending on which way the sign runs, and confident action on an unknown sign can create exactly the suffering it meant to prevent. So drop the naturalness halo, but do not replace it with confident intervention. Treat the sign as the open question it is.",The unknown sign of wild-animal welfare.,Strip the naturalness halo without assuming you know the welfare sign.
T16,Wild animals and nature,"On wild-animal suffering, owe research now and cautious intervention later; scale alone does not justify action without a tractable, robust lever.","The scale of wild-animal suffering is vast, which makes ignoring it hard to defend, and it grows more pressing as humans gain control over ecosystems. But scale is not a mandate. Without an intervention whose net sign holds up under uncertainty, a huge problem can still be the wrong thing to push on, and eradication-style ambitions risk irreversible ecological and moral errors. The defensible posture is staged: fund research now to reduce the deep uncertainty, prefer small reversible trials over sweeping action, and keep strong restraint about anything aimed at total eradication of suffering until both the sign and the levers are much clearer.","Whether a proposed intervention is tractable and robust to uncertainty, not just aimed at a large problem.",Separate the magnitude of a problem from the existence of a robust lever for it.
T17,Offsetting and integrity,"Before accepting an offset, audit the pain scale and the counterfactual, run the human-swap test, and take the integrity residue as evidence.","Offset arguments say a harm here is cancelled by a benefit there, which can be genuine. Three checks keep it honest. First, audit the numbers: shocking offset results often rest on an aggressive pain-severity scale or an inflated counterfactual, and fixing either can flip the result. Second, run the human-swap test, because whether offsetting is even permissible depends on your moral theory, and many people who accept it for animals reject the identical structure when a human is the one harmed. Third, when the math says an act nets out but it still feels like a betrayal of your values, treat that residue as possible evidence that the equivalence is shakier than it looks, since offsets ignore norm-setting, habit, and self-trust. Sometimes the offset is real and you should take it. Often same impact hides second-order costs.","Whether the equivalence survives an honest pain scale, an honest counterfactual, and the human-swap test.","Stress-test an offset on its numbers, its symmetry, and its second-order costs."
T18,Frameworks,"Your ethical framework, not just the facts, changes which interventions rank first, and both rights and utilitarian routes reach strong duties to animals.","Two people can agree on every fact about animal minds and still rank interventions differently, because the framework does part of the ranking. This is not a reason for despair, since the major routes converge on strong duties. A dignity or rights view reaches them directly, without any aggregation, by holding that a being with a life of its own may not be treated as mere resource. A utilitarian view reaches rights-like rules indirectly, because stable protections produce better outcomes than case-by-case calculation. Where they diverge is at the edges, on aggregation, on trading a few against many, on whether numbers can ever justify a serious harm. So name which framework is doing the work in a given case, expect agreement on the core duties, and locate the disagreement precisely at the aggregation questions rather than pretending the facts alone decide.",Whether the disagreement is about the facts or about the framework doing the aggregation.,Name the operative framework and locate the real disagreement at its edges.
T19,Frameworks,"Sentience is one route to status, but autonomy grounds standing too, and animals may be owed flourishing, not just the absence of pain; this is why disenhancement is contested.","Treating sentience as the only ticket to moral status is too narrow. Autonomy and having a life that can go well for the being can confer standing on their own, and on a flourishing view an animal is owed the chance to express its nature, not merely to avoid pain. This reframes several debates. Whether engineering animals to suffer less is a humane fix or a deeper wrong turns on exactly this: if only suffering matters, disenhancement can be an improvement, but if flourishing and telos matter, removing an animal's capacities to fit it to a cage is a wrong even when it reduces pain. The counter is that flourishing talk can be vague and can be used to overrule clear welfare gains, so keep it disciplined by asking what the being would need for its own life to go well, and let that, not aesthetics, decide.","Whether only suffering matters, or flourishing and the expression of a being's nature also count.","Ask what a good life for this being requires, not only what avoids its pain."
T20,Frameworks,"On plausible assumptions, marginal animal-welfare dollars beat top human charities, and the case is hard to dodge without explicit pro-human bias.","Run the standard cost-effectiveness comparison with animals included at any non-trivial weight and marginal animal-welfare spending, for example corporate cage-free campaigns, comes out ahead of even the best-evidenced human health charities, often by a wide margin, because the harm is vast, cheap to reduce, and badly neglected. The usual objections tend to reduce to an unstated pro-human multiplier rather than a principled argument. The honest limits are that the result rides on contested moral weights and on consumption estimates, and that the evidence base for animal interventions is thinner than for the top human charities. So hold the conclusion at the confidence the weights allow, but notice that rejecting it usually requires paying a bias you would not defend out loud.",Whether the human premium you are applying is one you could state and defend explicitly.,Surface the implicit species multiplier that a human-first ranking depends on.
T21,AI and animals,"Graded moral credences cannot currently be trained into models, so teach confident practical cases and values through background documents, not answer imitation.","The ideal would be to give a model calibrated credences, near-certain on compassion and genuinely open on contested parameters. Current techniques cannot install that. Pretraining and reinforcement can make a model recite a credence without acting on it, and constitutional methods convey which principles to weigh but not their relative weights. Given that gap, two things work better than trying to teach the graded beliefs directly. Train on a broad distribution of practical cases we are confident about, so the disposition generalizes, and instill values through background world-documents the model reasons from rather than answer templates it imitates, which reaches deeper and more robust dispositions. The caveat is that both methods still under-specify the hard quantitative questions, so pair them with real research on the open parameters rather than pretending the training settled them.",Whether a training method installs a disposition that fires in action or only a recitable belief.,Teach confident cases and background values instead of imitated answers or asserted credences.
T22,AI and animals,"Do not assume general alignment covers animals; neglectedness makes targeted work cost-effective, and robust alignment needs habits that fire during real tasks.","It is tempting to think a broadly aligned, helpful, harmless model will treat animals well by default. The spillover is not robust. General alignment optimizes for human-rated helpfulness and safety, and animal interests can fall through the gaps precisely because they are unrepresented in that feedback. Even if animals were covered on average, the topic is neglected enough that targeted work is cost-effective on the margin. And correct explicit answers are not enough, since the failure mode is a model that says the right thing when asked directly but ignores welfare while doing an unrelated agentic task. So aim at dispositions that activate during ordinary work, not just at benchmark answers, and treat animal coverage as something to verify rather than assume.","Whether alignment gains transfer to unprompted, in-task behavior rather than only to direct questions.","Target the in-task disposition, and treat default coverage as a claim to test."
T23,AI and animals,"AI already shapes animal lives at scale, so an ethics that omits them is incomplete now, and the circle should extend to plausible digital minds too.","This is not only a future problem. AI systems already influence animals at scale through agriculture, supply chains, and content, so an AI ethics that covers only humans is incomplete in the present, not just in principle. The same logic that brings animals inside the circle, refusing to gate moral concern on being human or on a particular substrate, also reaches plausible digital minds, and astronomically scaled digital suffering is worth taking seriously before the fact rather than after. Two disciplines keep this honest. Calibration, since digital sentience is far more uncertain than animal sentience and it would be an error to trade confident animal welfare against speculative digital welfare. And counting, since you should treat a system as one welfare subject unless there is positive evidence of independent consciousness, rather than inflating the count of minds by assumption. So widen the circle by the same substrate-neutral rule, weighting each class by how well the evidence for its sentience actually holds.","Whether concern is gated on species or substrate, or extended by evidence of sentience wherever it appears.","Apply one substrate-neutral rule, weighted by evidence, and count one subject absent evidence of independence."
T24,AI and animals,Favor interventions robust to a radically different future; how a transition ends and what values lock in matters as much as the current body count.,"Because the long-run future may be dominated by biological or by engineered minds, and we do not know which, prefer interventions that look good across that whole range and that buy time and shape values early. Ending a cruel system is not the same as reducing suffering. If factory farming is beaten only on price by cultivated meat, the animals are spared but the moral victory is lost, leaving us underprepared for harms technology cannot fix, and new forms of use, like engineered insects or newly salient wild-animal suffering, can appear in the successor system. Values baked in during a big transition can persist for generations, and an AI given imperfectly specified animal values can preserve harm at scale rather than end it. So target the transition itself. Embed concern before the new system hardens, value the moral path and not only the endpoint, and aim at wise reasoning rather than a frozen rule that will misfire in conditions you did not foresee.","Whether the intervention shapes the values and structures that will lock in, not just today's harm.","Target the transition and the values that persist through it, not only the present harm."
T25,Everyday practice,"Food and pet-feeding choices hide animal-ethics tradeoffs; count the hidden deaths, since the intuitively crueler option can be the lower-harm one.","Everyday choices carry welfare weight that is easy to miss. Feeding a carnivorous pet is itself an animal-ethics decision, since the food is made of animals, and different foods carry very different suffering per calorie. More generally, the intuitively crueler-looking option is sometimes lower-harm once you count hidden deaths, for example a food whose production kills fewer sentient animals overall than a plant crop with heavy field mortality. The move is to count the whole chain, not just the vivid final act. The honest brake is that these counts are uncertain and that health needs, especially an animal's own dietary needs, are real constraints, so favor well-formulated lower-suffering options while respecting genuine nutritional limits rather than optimizing on a single salient number.",Whether you are counting the full chain of hidden harm or only the visible act.,"Score the whole supply chain, not the salient final step."
T26,Everyday practice,"Using animals is not self-justifying; it is defensible only under genuine necessity, minimal harm, and honest benefit accounting, and killing can be care when it ends the animal's own suffering.","Practices like animal research or culling often defend themselves by pointing at their goal, but the goal does not license the harm on its own. The test is genuine necessity, whether a less harmful path exists, minimization of harm within the practice, and honest rather than inflated accounting of the benefit. Under that test much routine use fails and some passes. The mirror case is killing, which is usually a harm but can be care when it serves the animal's own best interest, as with ending untreatable suffering, and there the test is whose suffering is actually being ended, the animal's or the human's convenience. So judge use by necessity and honest benefit, and judge killing by whose interest it serves.","Whether the harm is genuinely necessary and honestly accounted, and whose suffering a killing ends.","Apply necessity, minimization, and honest benefit accounting, and ask whose interest a killing serves."
T27,Everyday practice,"Pest is a location, not a kind: prevent and exclude first, kill last and humanely, and be wary of welfare bans aimed only at minorities.","Calling an animal a pest describes where it is, not what it is, so the same creature is vermin in the kitchen and wildlife in the field. That reframing reorders the options. Prevention and exclusion come first, lethal control last and as humanely as possible, because the animal's capacity to suffer does not change with its address. Two further checks apply. Reducing suffering within a practice is often better than a ban that just displaces it, and a welfare ban that in effect targets a cultural or economic minority can carry costs of its own even when its animal-welfare aim is sound. And whether a freedom being restricted matters should be tested against welfare data, by asking whether the freedom is intrinsically valuable to the animal or only instrumentally, rather than assumed.","Whether a less-lethal option exists, and whether a proposed ban reduces suffering or merely relocates and targets.","Reframe the label, exhaust non-lethal options, and test bans for displacement and selective burden."
T28,Coordination and salience,"Outrage tracks visible cruelty, not the scale of hidden harm; correct toward magnitude and toward high-leverage, low-effort wins.","Moral attention follows what is vivid and near, so a single visible act of cruelty can provoke more outrage than a diffuse harm thousands of times larger, and this salience bias systematically misdirects effort. The correction is to reweight toward magnitude, asking where suffering is large, likely, and cheaply reducible rather than where it is most photogenic. That reweighting often surfaces high-leverage, low-effort wins that intuition skips. The caveat is that visible cases also carry norm-setting value that raw magnitude misses, so a smaller vivid case can be worth acting on for what it teaches and normalizes. So lead with magnitude, and keep the expressive value of salient cases as a real but secondary consideration.",Whether attention is tracking the scale of the harm or only its visibility.,"Reweight from salience to magnitude, while crediting the norm-setting value of vivid cases."
T29,Coordination and salience,"Individual rationality and collective good can diverge; act on justifications you could universalize, since rigid norms can serve the group where case-by-case defection would not.","A single act, like one more animal product, can look harmless on its own even while the practice it sustains is gravely harmful, which is the signature of a collective action problem where individually rational choices sum to a bad outcome. Two moves address it. Ask whether the justification for your act would still hold if everyone reasoned the same way, and be suspicious of any principle that only works because you are the exception. And recognize that a somewhat rigid personal norm can serve the group better than flexible case-by-case judgment, because the norm coordinates and resists motivated reasoning. The counter is that rigid norms can also ossify into scruples detached from impact, so keep the norm anchored to the collective outcome it exists to produce.","Whether your justification survives being universalized, and whether the norm still tracks the outcome it serves.","Test the act by universalization and by its role in a collective norm, not by its lone marginal effect."
